state,isMetro,parent_count,child_count,needs_childcare,total_cost,median_family_income
1,False,2,0,0,46997.7828,49576.1875
1,False,2,1,1,60803.9532,49576.1875
1,False,2,2,1,74560.1892,49576.1875
1,False,2,3,1,87220.1076,49576.1875
1,False,2,4,1,93165.9312,49576.1875
1,False,1,0,0,34366.9488,58335.015625
1,False,1,1,1,47254.77,58335.015625
1,False,1,2,1,61355.52,58335.015625
1,False,1,3,1,75028.4292,58335.015625
1,False,1,4,1,80477.1792,58335.015625
1,False,2,0,0,46756.9632,58335.015625
1,False,2,1,1,60301.9452,58335.015625
1,False,2,2,1,73684.1664,58335.015625
1,False,2,3,1,86028.3924,58335.015625
1,False,2,4,1,92504.7768,58335.015625
1,True,1,0,0,36126.0264,62409.4609375
1,True,1,1,1,50515.5648,62409.4609375
1,True,1,2,1,67263.6384,62409.4609375
1,True,1,3,1,84332.496,62409.4609375
1,True,1,4,1,90603.9024,62409.4609375
1,True,2,0,0,49151.2644,62409.4609375
1,True,2,1,1,63950.3844,62409.4609375
1,True,2,2,1,80624.3316,62409.4609375
1,True,2,3,1,95159.3736,62409.4609375
1,True,2,4,1,101746.8168,62409.4609375
1,False,1,0,0,34478.2152,50684.1328125
1,False,1,1,1,47114.3556,50684.1328125
1,False,1,2,1,60971.9412,50684.1328125
1,False,1,3,1,73044.2928,50684.1328125
1,False,1,4,1,78326.4084,50684.1328125
1,False,2,0,0,48133.5708,50684.1328125
1,False,2,1,1,59925.1404,50684.1328125
1,False,2,2,1,73054.6176,50684.1328125
1,False,2,3,1,83914.8924,50684.1328125
1,False,2,4,1,89486.7132,50684.1328125
1,True,1,0,0,35847.2232,64886.1640625
1,True,1,1,1,52664.2788,64886.1640625
1,True,1,2,1,70654.3248,64886.1640625
1,True,1,3,1,87754.6284,64886.1640625
1,True,1,4,1,94480.0368,64886.1640625
1,True,2,0,0,51564.1176,64886.1640625
1,True,2,1,1,66630.1992,64886.1640625
1,True,2,2,1,84351.9024,64886.1640625
1,True,2,3,1,98993.2032,64886.1640625
1,True,2,4,1,106057.8756,64886.1640625
1,True,1,0,0,34565.0832,65752.8046875
1,True,1,1,1,48869.5548,65752.8046875
1,True,1,2,1,64575.1524,65752.8046875
1,True,1,3,1,79998.3696,65752.8046875
1,True,1,4,1,85964.3088,65752.8046875
1,True,2,0,0,48411.8028,65752.8046875
1,True,2,1,1,62019.51,65752.8046875
1,True,2,2,1,77766.9312,65752.8046875
1,True,2,3,1,90854.0856,65752.8046875
1,True,2,4,1,96990.27,65752.8046875
