state,isMetro,parent_count,child_count,needs_childcare,housing_cost,food_cost,transportation_cost,healthcare_cost,other_necessities_cost,childcare_cost,taxes
13,False,1,3,1,12906.0,9444.16776,14669.9922,12652.8324,8252.21082,13939.1934,8255.617259999999
13,False,1,4,1,12906.0,11560.29936,14868.6354,15187.35,9048.0861,13939.1934,7952.886839999999
13,False,2,0,0,7272.0,6010.65654,14044.0686,10098.56028,4904.3934,0.0,6325.21068
13,False,2,1,1,9372.0,7480.866959999999,14745.9186,12633.078,6170.2599,5940.24186,7100.31666
13,False,2,2,1,9372.0,9474.357,15842.4768,15167.5956,6920.00976,12057.087,7377.06228
13,False,2,3,1,12906.0,11567.469720000001,16054.2636,17702.112,9050.782439999999,13939.1934,8610.22266
13,False,2,4,1,12906.0,14155.8096,16033.3794,20236.6284,9989.054820000001,13939.1934,8025.71886
13,True,1,0,0,6609.93132,3226.66404,11355.80862,4964.37996,3552.8694,0.0,5631.53022
13,True,1,1,1,10015.008539999999,4755.3186000000005,11949.247200000002,7448.7378,5294.66034,6786.45486,5737.3125
13,True,1,2,1,10015.008539999999,6967.33668,12802.718400000002,9933.09516,6094.04682,13772.8878,6483.3552
13,True,1,3,1,13852.3446,9294.733919999999,13774.080600000001,12417.4524,8392.45236,15922.5594,9416.39832
13,True,1,4,1,13852.3446,11377.38318,14103.337800000001,14901.81,9145.86474,15922.5594,9146.382959999999
13,True,2,0,0,7806.0,5915.55102,13481.2746,9928.76004,4959.67986,0.0,6259.97658
13,True,2,1,1,10015.008539999999,7362.49914,14267.1162,12413.118,6242.30346,6786.45486,7440.58812
13,True,2,2,1,10015.008539999999,9324.445619999999,15316.291799999999,14897.4756,6952.05138,13772.8878,8041.26564
13,True,2,3,1,13852.3446,11384.43936,15545.6358,17381.832,9148.4172,15922.5594,9445.304820000001
13,True,2,4,1,13852.3446,13931.826000000001,15642.0468,19866.1908,10069.952280000001,15922.5594,9058.2576
14,False,1,0,0,5718.0,2879.0973,11106.4977,6222.69,3141.92562,0.0,5859.1377
14,False,1,1,1,8400.0,4243.0899,11904.048719999999,9264.51708,4607.94978,6934.86654,6644.7539400000005
14,False,1,2,1,8400.0,6216.83568,13137.8394,12306.3456,5324.66676,11922.13914,7084.36302
14,False,1,3,1,11196.0,8293.533,13668.278999999999,15348.1728,7084.633680000001,13456.6842,8988.79284
